DateTime,CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,hour,weekday,month,is_anom_resid_CO,is_anom_resid_C6H6,is_anom_resid_NOx,is_anom_resid_NO2,is_anom_iso,is_mismatch_CO,is_mismatch_C6H6,is_mismatch_NOx,is_mismatch_NO2
2004-01-04 00:00:00,1.6,6.29188712636252,96.0,86.0,11.950000047684,61.624999046326,0.8593442034755616,0,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 01:00:00,1.2,5.121191172765745,85.0,70.0,11.499999761581,63.875,0.865156190872878,1,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 02:00:00,1.1,4.086652431771937,50.0,55.0,10.674999952316,67.224998474121,0.8629879858643917,2,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 03:00:00,0.9,4.045717310202204,,,8.974999666214,73.10000038147,0.839403459888452,3,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 04:00:00,0.7,2.433637604423108,57.0,49.0,10.225000143051,66.574999809265,0.8298975601272053,4,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 05:00:00,0.9,2.9401643453635233,64.0,50.0,10.950000047684,63.699998855591,0.8325141696783469,5,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 06:00:00,1.7,7.445634592498937,153.0,67.0,9.625,68.775001525879,0.8242643582344042,6,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 07:00:00,4.2,19.788341330849207,342.0,94.0,9.5,69.60000038147,0.8273289711599782,7,Sunday,1,True,True,True,False,False,False,False,False,False
2004-01-04 08:00:00,6.2,31.918570747839304,378.0,119.0,11.875,60.925001144409,0.8454750128422129,8,Sunday,1,True,True,True,False,True,False,False,False,False
2004-01-04 09:00:00,4.6,20.97283131106031,304.0,139.0,16.225000143051,48.575000762939,0.8892074859917042,9,Sunday,1,True,True,False,False,False,False,False,False,False
2004-01-04 10:00:00,2.8,11.716971682644164,192.0,113.0,19.150000095367,39.599999427795,0.8692660766529969,10,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 11:00:00,1.6,6.832858302767715,130.0,88.0,19.724999904633,38.449998855591,0.874323849183893,11,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 12:00:00,1.7,7.427984010652609,106.0,73.0,20.60000038147,36.674999237061,0.8797143487757445,12,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 13:00:00,1.7,8.599625488406302,102.0,73.0,21.849999427795,33.900001525879,0.8771400609158182,13,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 14:00:00,1.7,,99.0,72.0,,,,14,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 15:00:00,1.9,,108.0,81.0,,,,15,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 16:00:00,2.3,,131.0,93.0,,,,16,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 17:00:00,3.3,16.426573279185213,163.0,106.0,23.599999745687,27.533332824707,0.7912595105626807,17,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 18:00:00,4.2,21.248211015776175,211.0,132.0,22.849999904633,32.074999809265,0.8813611484449144,18,Sunday,1,False,True,False,False,False,False,False,False,False
2004-01-04 19:00:00,5.5,25.00579678945213,267.0,164.0,20.750000476837,36.674999237061,0.8877776025766839,19,Sunday,1,True,True,False,False,False,False,False,False,False
2004-01-04 20:00:00,4.9,20.20993301920428,269.0,161.0,18.25,40.900000572205,0.8493422664548784,20,Sunday,1,True,False,False,False,False,False,False,False,False
2004-01-04 21:00:00,2.5,10.79738414281125,154.0,124.0,16.775000095367,44.02499961853,0.834143825684035,21,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 22:00:00,2.0,9.943304590471374,127.0,113.0,15.825000047684,48.0,0.8568841329653735,22,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-04 23:00:00,2.0,8.518416854434964,122.0,103.0,14.899999856949,52.000000953674,0.8756691527781013,23,Sunday,1,False,False,False,False,False,False,False,False,False
2004-01-05 00:00:00,3.5,15.187991985721865,185.0,110.0,17.775000095367,66.750001907349,1.345959864201086,0,Monday,1,False,False,False,False,False,False,False,False,False
2004-01-05 01:00:00,2.4,9.293399930759755,129.0,84.0,17.275000095367,68.27499961853,1.3345848697226224,1,Monday,1,False,False,False,False,False,False,False,False,False
2004-01-05 02:00:00,1.6,6.462705341030986,85.0,71.0,16.525000095367,70.224998474121,1.3099186335166972,2,Monday,1,False,False,False,False,False,False,False,False,False
